date,temperature_c,rainfall_mm,humidity_pct,is_holiday,is_exam,is_special,rolling_avg_7d,rolling_avg_28d,notes,PREDICTED_MEALS,CONFIDENCE_LOWER_95,CONFIDENCE_UPPER_95,DEMAND_TREND,BREAKFAST_MEALS,LUNCH_MEALS,SNACKS_MEALS,DINNER_MEALS,RICE_REQUISITION,DAL_REQUISITION,VEGETABLES_REQUISITION,DAIRY_MILK_REQUISITION,ESTIMATED_GROCERY_COST,EXPLAINABILITY_REASON
2026-09-01,29.5,0.0,52,0,0,0,410,405,Regular Tuesday - Standard classes,385,371,469,COOLING,85,169,69,62,34.0 kg,13.3 kg,29.1 kg,33.5 litres,17847.3,📅 Tuesday Peak (+0.5%)
2026-09-02,30.0,0.0,50,0,0,0,412,406,Regular Wednesday - Full attendance,389,375,463,COOLING,86,171,70,62,34.3 kg,13.5 kg,29.4 kg,33.8 litres,18046.9,📅 Wednesday Midweek Steady
2026-09-03,26.0,18.5,85,0,0,0,408,405,Heavy Monsoon Storm - Expect hot snack spike,411,397,449,STEADY,87,174,87,63,34.8 kg,13.7 kg,29.9 kg,37.3 litres,18782.3,📅 Thursday Midweek Steady
2026-09-04,27.5,6.0,78,0,0,0,395,402,Friday Afternoon - Pre-weekend taper,379,365,404,COOLING,80,160,80,59,32.2 kg,12.6 kg,27.6 kg,34.3 litres,17258.4,📅 Friday Taper (-5.1%)
2026-09-05,28.0,0.0,60,0,0,0,240,380,Saturday - Hostel and weekend diners,219,205,280,COOLING,48,96,39,36,19.4 kg,7.6 kg,16.6 kg,18.9 litres,10153.8,📅 Weekend Shift (-8.3%)
2026-09-06,29.0,0.0,55,0,0,0,180,375,Sunday - Low campus headcount,178,164,225,STEADY,39,78,32,29,15.7 kg,6.2 kg,13.5 kg,15.4 litres,8229.6,📅 Weekend Shift (-8.3%)
2026-09-07,28.5,0.0,58,0,1,0,425,410,Monday - Midterm Exam Week Begins (+15% surge),388,374,469,COOLING,85,171,70,62,34.3 kg,13.5 kg,29.4 kg,33.6 litres,18027.9,📅 Monday Peak (+0.0%)
2026-09-08,27.0,12.0,80,0,1,0,435,412,Tuesday - Midterms + Rainy afternoon,408,394,467,COOLING,86,173,86,63,34.7 kg,13.6 kg,29.7 kg,36.8 litres,18573.9,📅 Tuesday Peak (+-5.3%)
2026-09-09,28.0,0.0,62,0,1,0,440,415,Wednesday - Midterms Peak study sessions,376,362,471,COOLING,83,165,68,60,33.1 kg,13.0 kg,28.4 kg,32.7 litres,17422.8,📅 Wednesday Midweek Steady
2026-09-10,29.0,0.0,55,0,1,0,430,414,Thursday - Midterms final review,381,367,428,COOLING,84,168,69,60,33.5 kg,13.2 kg,28.7 kg,33.2 litres,17615.3,📅 Thursday Midweek Steady
2026-09-11,28.0,0.0,58,0,0,1,460,420,Friday - Annual Campus Cultural Fest (+35% rush),361,347,394,COOLING,79,159,65,58,31.9 kg,12.5 kg,27.3 kg,31.4 litres,16752.6,📅 Friday Taper (-18.5%)
2026-09-12,27.5,0.0,60,0,0,1,380,418,Saturday - Cultural Fest Day 2 Visitors,215,201,274,COOLING,47,95,39,34,19.0 kg,7.4 kg,16.3 kg,18.7 litres,9928.5,📅 Weekend Shift (-42.1%)
2026-09-13,29.0,0.0,50,1,0,0,95,390,Sunday - National Holiday / Campus Closed,177,163,224,SURGING,39,78,32,28,15.6 kg,6.1 kg,13.4 kg,15.4 litres,8201.1,📅 Weekend Shift (73.7%)
2026-09-14,28.5,0.0,55,0,0,0,415,408,Monday - Regular Academic Week Restart,392,378,464,COOLING,86,172,71,63,34.5 kg,13.6 kg,29.6 kg,34.1 litres,18181.3,📅 Monday Peak (+2.4%)
